Nodes:
7003: (144.98884353329427, -37.82462879249984)
7009: (145.03128102137524, -37.79410440077204)
7015: (145.05552050592388, -37.77236692100448)
7016: (145.0160658108261, -37.805651084377565)
7025: (145.0457186953634, -37.848851992888434)
7029: (145.0396380024034, -37.84474647832166)
7031: (145.01115790274716, -37.803520991831114)
7032: (145.04577404742474, -37.84869199180575)
7040: (145.00378867533, -37.819040997513376)
7081: (145.05592356566436, -37.85601571373164)
7084: (145.0699136597465, -37.78463159846671)
7098: (145.05254031395503, -37.85199604606877)
7110: (145.0710340279848, -37.79270990943792)
7117: (145.06330860203948, -37.78482388489886)
7121: (145.0711324755225, -37.791934286432046)
7137: (145.05271322829364, -37.852245445371175)
7145: (145.0453798255616, -37.85094095133389)
7152: (145.04572239882555, -37.79138878204856)
7155: (145.05405078918798, -37.84532110268213)
7158: (145.0070645123694, -37.82668464432382)
7159: (145.03201839509973, -37.841102495240555)
7163: (144.9887784782709, -37.82495320058416)
7164: (144.98880711255575, -37.82481039472418)
7167: (145.08350529976187, -37.80353770961768)
7172: (145.0044532702867, -37.79423713284607)
7188: (145.05559277897635, -37.837233399835405)
7190: (145.01081057015395, -37.775778803003)
7193: (145.05212562021183, -37.84672829480429)
7204: (145.05868986309048, -37.82088209519407)
7212: (145.03745212192592, -37.758565099433696)
7215: (145.05418290190016, -37.856158795928415)
7219: (145.08679928266366, -37.77671748614604)
7222: (145.05177177053227, -37.85702159188302)
7239: (145.07075437211182, -37.79235297638304)
7240: (145.01885310639622, -37.774648795936095)
7251: (145.0782943873116, -37.7828024044633)
7254: (145.01580161472592, -37.7650005305944)
7264: (145.045034606999, -37.84514349870008)
7268: (145.02701936034657, -37.76844809892488)
7275: (145.03423669805267, -37.86314817593856)
7290: (145.05283042145916, -37.850923055719285)
7292: (145.01541999388795, -37.79291125938322)
7293: (145.0611421452337, -37.760614002987936)
7305: (145.05124123927476, -37.760512763222856)
7337: (145.05541634594005, -37.83816168695324)
7344: (145.0256976083469, -37.81339163586004)
7354: (145.0541568156205, -37.86558883889699)
7364: (144.9973244885177, -37.834823266809856)
7370: (145.05442389929553, -37.8457538790136)
7384: (145.06335612406116, -37.77603578149856)
7385: (145.05226383519997, -37.85433449577741)
7391: (145.01107481724583, -37.841345143888994)
7395: (144.99658104549118, -37.83447220168476)
7401: (145.02703670325337, -37.76835139741757)
7406: (145.03079484752072, -37.84770770519429)
7413: (145.04387151411484, -37.84859840436442)
7415: (145.04532361429972, -37.790627748581045)
7418: (145.0395860291553, -37.84105544985856)
7423: (144.99127945756769, -37.810142586164815)
7424: (144.99604006045223, -37.81009300307469)
7430: (145.10512702175484, -37.8155203005468)
7449: (145.07071977821394, -37.792391289818575)
7473: (145.0389311125614, -37.8293056443892)
7481: (145.03435013508428, -37.828003297525854)
7485: (145.00885380448503, -37.81956238403346)
7491: (145.05236000528515, -37.772002077842544)
7550: (144.9996642138315, -37.815895385029926)
7572: (145.06288460754436, -37.860092266280176)
7588: (145.0108593690998, -37.77553300073264)
7599: (145.02800850195243, -37.81296989905617)
7604: (145.07511766632615, -37.8598730001369)
7610: (145.03283779426047, -37.84010049441471)
7614: (145.03609196510746, -37.818651298453325)
7616: (145.03648548590257, -37.80473599128761)
7618: (145.01074231343517, -37.8289581958875)
7634: (145.03609196510746, -37.818651298453325)
7636: (145.03423669805267, -37.86314817593856)
7649: (145.02479900390898, -37.781911204365485)
7651: (145.0432016590383, -37.76814186151727)
7658: (145.05419850152407, -37.859731799592886)
7660: (145.02527550051943, -37.807059015465846)
7667: (144.99300937794675, -37.799702803979066)
7684: (145.03128128703494, -37.845145203190896)
7692: (145.08271582941478, -37.84628309943984)
7711: (145.0330275967706, -37.807122887575694)
7716: (145.09726140789158, -37.82578060053421)
7730: (145.05077120740427, -37.85133329108666)
7737: (145.09134277197487, -37.87549053076612)
7744: (145.03950286050727, -37.86721319881712)
7753: (145.0187367026242, -37.778924100263815)
7766: (144.9982218048787, -37.82406310019144)
7769: (145.05790471055312, -37.82823194665001)
7787: (145.0287597392118, -37.79140116586759)
7791: (145.00852210973372, -37.81952771946012)
7796: (145.09554898732293, -37.85075599590077)
7800: (144.99138388381755, -37.80953239648087)
7803: (145.08147964359108, -37.83350581118958)
7812: (145.07598468821243, -37.782019401914695)
7814: (145.0345470116354, -37.84601955884126)
7833: (145.01096176417875, -37.775017203265925)
7844: (145.00598227673476, -37.83398259883324)
7855: (145.00636002108095, -37.832004196962046)
7880: (145.0997126105901, -37.815053029604265)
7884: (145.02202940125304, -37.82625199954498)
7893: (145.10605971628496, -37.81582285699054)
7905: (145.0635231203603, -37.80092620572198)
7958: (145.05254031395503, -37.85199604606877)
7970: (144.99135232452198, -37.809724695914085)
7990: (144.98907389654184, -37.82325720250599)
7994: (145.054824897774, -37.8531664013469)
7995: (145.08350529976187, -37.80353770961768)
2010: (145.0478601148809, -37.791635438447365)
2016: (145.04094212954203, -37.844573500539234)
2018: (145.04007419721296, -37.84478960818706)
2021: (145.0479328068683, -37.83034902291317)
2027: (144.99134815385665, -37.809748986733126)
2073: (145.06323365188248, -37.79711570749643)
2094: (145.04608885008184, -37.839227011750886)
2131: (145.03533908776555, -37.80514996906168)
2134: (145.0738103230922, -37.862711711050295)
2137: (145.11240038410338, -37.83143340244366)
2139: (145.06789246137913, -37.85109559119368)
2151: (145.1031017141022, -37.81546826773961)
2162: (145.0287099774328, -37.809153903050586)
2167: (145.07448009664225, -37.86279287275579)
2180: (145.05593250753515, -37.835418600030806)
2202: (145.11313802868585, -37.82659690216119)
2207: (144.99051100016564, -37.81760947543582)
2212: (145.09336599505835, -37.86295309542456)
2221: (145.09266002541833, -37.85015249711276)
2240: (145.04485182507534, -37.82347239775674)
2241: (145.0397912040754, -37.80354819574662)
2254: (145.08796691227332, -37.813641456452714)
2255: (144.99914432360112, -37.818731902296925)
2281: (145.02985659641735, -37.8516007088376)
2291: (145.0245680131931, -37.821356217065805)
2293: (145.0307940198228, -37.84771200313613)
2299: (145.03936334697653, -37.77485527829808)
2306: (145.02625298986723, -37.781677783999406)
2313: (145.05597732897024, -37.83517920241496)
2315: (144.99625973840955, -37.836352598195035)
2321: (145.00033312373432, -37.81224000160556)
2327: (145.0101371981901, -37.81140662165712)
2333: (145.03872096818824, -37.8713208014718)
2335: (145.09518561100836, -37.81450834545997)
2336: (145.07141462446677, -37.7927783316194)
2376: (145.04114519910087, -37.85847609548536)
2389: (145.0525263111818, -37.85199091655288)
2397: (145.04436866129623, -37.84802638048486)
2413: (145.0458703756242, -37.765997285566094)
2427: (145.03164291561782, -37.828447657646166)
2430: (145.05961773052647, -37.81599940088815)
2437: (145.08360841603235, -37.81311543917538)
2446: (145.0352886095982, -37.80738405850997)
2457: (145.0290664128276, -37.82815563776472)
2460: (144.99238951632486, -37.81781745262278)
2463: (145.01295345059197, -37.81171166533264)
2466: (144.9932681974818, -37.825161478210255)
2472: (145.02912747311677, -37.807403660355135)
2478: (145.08515831584225, -37.834470658281674)
2481: (145.038584908971, -37.829265436495405)
2499: (145.03506737859576, -37.824140702119)
2505: (145.00258670714132, -37.82619986131637)
2517: (145.01081562055586, -37.84104159561744)
2529: (145.01178559392926, -37.8272069884065)
2538: (145.0503575052284, -37.79944688727414)
2540: (145.0953265980847, -37.835651275303114)
2544: (145.055014432899, -37.84026900154214)
2550: (145.0876122078269, -37.8040799722841)
2584: (145.09582788711717, -37.80404066999317)
2588: (145.07706721150606, -37.84827351857797)
2622: (145.0427968987402, -37.77191988730056)
2627: (145.0562489444549, -37.83372819141498)
2631: (145.0336564870272, -37.78029636148804)
2658: (145.032542391561, -37.78050428123253)
2661: (145.00026497163833, -37.81261170234185)
2668: (145.059145360045, -37.81848240320761)
2671: (145.03156638574586, -37.84363419967726)
2676: (145.07773981905027, -37.793874724829614)
2680: (145.03901440366587, -37.76746487269018)
2681: (145.0647134119133, -37.810847032517)
2690: (145.06059529520158, -37.81086950042228)
2693: (145.04326833883374, -37.83202890361573)
2699: (145.1066490997762, -37.83715647764984)
2707: (144.99995217432712, -37.81431770062569)
2713: (145.0604795948421, -37.81034818279006)
2719: (145.07708649616782, -37.83372187082698)
2720: (145.04417890184885, -37.858536609113216)
2723: (145.04020495239754, -37.846522163737774)
2724: (145.09945795303003, -37.814638211234666)
2727: (145.0535384317673, -37.84786840073786)
2733: (145.04481799742345, -37.846359595045406)
2736: (145.0675765197638, -37.84085527940024)
2742: (145.05347500114345, -37.848180901867416)
2749: (145.0673621379399, -37.7649191932121)
2763: (145.0164897009658, -37.82741327671102)
2765: (145.0210156009856, -37.826458708486825)
2766: (145.0239323088067, -37.85082143605517)
2780: (145.0344836078999, -37.82877464948968)
2792: (145.08453401105044, -37.79466761553104)
2807: (145.0644961649334, -37.79064200271847)
2817: (145.06131439069424, -37.79464829321432)
2822: (144.9923744247104, -37.80350259943346)
2842: (145.04842200062174, -37.859042895555454)
2848: (145.03052607964156, -37.78088053531306)
2853: (145.03560041733985, -37.85744766026681)
2857: (145.0502271074172, -37.799504120021915)
2859: (145.06292984248034, -37.77066996574265)
2871: (145.04824311681864, -37.85902155109408)
2889: (144.9869695160741, -37.81657875593652)
2904: (144.98844260703748, -37.82457786606346)
2909: (145.08042119912758, -37.81768630302778)
2938: (145.09343959249725, -37.86254919820081)
2959: (145.03619481479174, -37.767161157443496)
2981: (145.1119596400071, -37.834304600555086)
2992: (145.0902459157552, -37.804427233084674)
3017: (145.0386969159142, -37.83926533764479)
3053: (145.07864788299236, -37.779922001034535)
3078: (145.02698580615123, -37.76618474916377)
3082: (145.07830466798595, -37.782753986149686)
3090: (145.0446666011864, -37.84721180062432)
3112: (145.07551361606562, -37.84787718652996)
3121: (144.99482610775277, -37.81808924377157)
3124: (145.0183985856197, -37.7832227675592)
3150: (145.02227710207148, -37.81298158762172)
3152: (145.09762300847547, -37.839212300792845)
3153: (145.07535481155415, -37.84773658744388)
3154: (145.04751480536385, -37.77175467492251)
3159: (145.0576746204901, -37.83216638386283)
3161: (145.0586127262126, -37.82128850273099)
3171: (145.0307921037066, -37.84772210374253)
3208: (145.10429640380295, -37.81561220695431)
3210: (145.0219645090237, -37.81294355076543)
3211: (145.02887561998244, -37.80715319626351)
3225: (145.04000399216565, -37.80347179156329)
3232: (144.9986251636435, -37.821735594762735)
3249: (145.0301751434822, -37.85097208947118)
3250: (145.0057334290992, -37.83531910411895)
3256: (145.0356601807419, -37.76400159464621)
3262: (145.04667836025467, -37.792379960329335)
3269: (145.02887561998244, -37.80715319626351)
3304: (145.0096547169022, -37.78230089742623)
3314: (145.0289185030135, -37.84349280713886)
3322: (145.02316490984813, -37.81308963919716)
3327: (145.03871484712323, -37.87135300455452)
3332: (145.0226237987564, -37.78237789222144)
3336: (145.0489759935672, -37.87180320023214)
3337: (145.1055069035513, -37.850069004633326)
3343: (145.06599692785286, -37.83945818399932)
3355: (145.041631690495, -37.85590079628897)
3369: (145.00392095531404, -37.7944049197986)
3373: (145.07598468821243, -37.782019401914695)
3378: (145.06408854574775, -37.79297508750156)
3394: (145.00412806664167, -37.79476684019095)
3399: (145.01606579904092, -37.79091326934194)
3401: (145.01326799686987, -37.84160648004664)
3411: (145.05404681601988, -37.84534189937861)
3430: (145.04582590763167, -37.80860182942355)
3450: (145.09588239552207, -37.850416606165176)
3483: (144.99553451270913, -37.8345713580229)
3495: (144.99539317598885, -37.813571094070326)
3497: (145.06722685102733, -37.85456940723622)
3504: (145.0236973041421, -37.7658353789732)
3509: (145.065501880092, -37.793220417644285)
3518: (145.05913246766022, -37.8583711878512)
3528: (145.01580521272783, -37.76500091755992)
3535: (145.00976892561016, -37.78337379991692)
3568: (145.05528322093747, -37.85445582217504)
3582: (145.04054423597395, -37.77293741678706)
3585: (145.00014609356896, -37.83418897695308)
3609: (145.03963765583066, -37.86650498989829)
3611: (144.99871791386468, -37.81855305849902)
3618: (145.01667647663075, -37.81993198097712)
3633: (144.98760412460175, -37.824471509399885)
3651: (145.08318989963732, -37.80323249579259)
3654: (145.03861210132936, -37.83943489613015)
3656: (145.03525635249977, -37.76586679462243)
3663: (145.03990706576317, -37.791789970138375)
3676: (145.10797880040192, -37.81605208193202)
3691: (145.0399694340291, -37.84537836066358)
3692: (145.06507459007278, -37.871701097115)
3714: (145.0457186953634, -37.848851992888434)
3715: (145.05124123927476, -37.760512763222856)
3716: (145.05228917603333, -37.854204102615626)
3725: (145.0525745902353, -37.85250970340029)
3736: (145.08318989963732, -37.80323249579259)
3819: (145.0106200674702, -37.776738395538935)
3824: (145.0614276086367, -37.79308873664625)
3831: (144.99655161679993, -37.834838771263165)
3841: (145.01272819796097, -37.76467677136292)
3843: (145.0141594970675, -37.820179395139085)
3847: (145.06731109585093, -37.79295277958306)
3858: (145.05290171633976, -37.809437728352286)
3875: (145.06870611526386, -37.832736953460206)
3910: (145.01057290830462, -37.84128534512588)
3913: (145.0413698049973, -37.858201316249485)
3915: (145.10028540697593, -37.83626986847078)
