Datetime,SCATS Number,Flow
2006-10-01 00:00:00,970,262.0
2006-10-01 00:15:00,970,248.0
2006-10-01 00:30:00,970,199.0
2006-10-01 00:45:00,970,176.0
2006-10-01 01:00:00,970,177.0
2006-10-01 01:15:00,970,142.0
2006-10-01 01:30:00,970,119.0
2006-10-01 01:45:00,970,101.0
2006-10-01 02:00:00,970,85.0
2006-10-01 02:15:00,970,78.0
2006-10-01 02:30:00,970,75.0
2006-10-01 02:45:00,970,74.0
2006-10-01 03:00:00,970,74.0
2006-10-01 03:15:00,970,81.0
2006-10-01 03:30:00,970,58.0
2006-10-01 03:45:00,970,47.0
2006-10-01 04:00:00,970,61.0
2006-10-01 04:15:00,970,62.0
2006-10-01 04:30:00,970,55.0
2006-10-01 04:45:00,970,40.0
2006-10-01 05:00:00,970,47.0
2006-10-01 05:15:00,970,58.0
2006-10-01 05:30:00,970,60.0
2006-10-01 05:45:00,970,78.0
2006-10-01 06:00:00,970,66.0
2006-10-01 06:15:00,970,109.0
2006-10-01 06:30:00,970,180.0
2006-10-01 06:45:00,970,140.0
2006-10-01 07:00:00,970,137.0
2006-10-01 07:15:00,970,162.0
2006-10-01 07:30:00,970,201.0
2006-10-01 07:45:00,970,212.0
2006-10-01 08:00:00,970,200.0
2006-10-01 08:15:00,970,249.0
2006-10-01 08:30:00,970,304.0
2006-10-01 08:45:00,970,376.0
2006-10-01 09:00:00,970,410.0
2006-10-01 09:15:00,970,424.0
2006-10-01 09:30:00,970,593.0
2006-10-01 09:45:00,970,649.0
2006-10-01 10:00:00,970,663.0
2006-10-01 10:15:00,970,726.0
2006-10-01 10:30:00,970,750.0
2006-10-01 10:45:00,970,744.0
2006-10-01 11:00:00,970,785.0
2006-10-01 11:15:00,970,822.0
2006-10-01 11:30:00,970,850.0
2006-10-01 11:45:00,970,926.0
2006-10-01 12:00:00,970,996.0
2006-10-01 12:15:00,970,967.0
2006-10-01 12:30:00,970,880.0
2006-10-01 12:45:00,970,912.0
2006-10-01 13:00:00,970,933.0
2006-10-01 13:15:00,970,885.0
2006-10-01 13:30:00,970,820.0
2006-10-01 13:45:00,970,865.0
2006-10-01 14:00:00,970,961.0
2006-10-01 14:15:00,970,839.0
2006-10-01 14:30:00,970,816.0
2006-10-01 14:45:00,970,805.0
2006-10-01 15:00:00,970,821.0
2006-10-01 15:15:00,970,787.0
2006-10-01 15:30:00,970,828.0
2006-10-01 15:45:00,970,800.0
2006-10-01 16:00:00,970,791.0
2006-10-01 16:15:00,970,897.0
2006-10-01 16:30:00,970,887.0
2006-10-01 16:45:00,970,898.0
2006-10-01 17:00:00,970,911.0
2006-10-01 17:15:00,970,960.0
